1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
74.97,47.01,48.38,71.19,75.83,65.71,80.02,75.1,65.6,35.4,47.92,68.6,66.42,78.0,80.5,71.98,53.06,58.14,70.12,57.7,70.0,78.12,77.81,40.64,36.39,31.42,59.03,74.0,66.11,64.91,61.67,63.19,76.44,74.61,53.5,77.0,64.23,59.22,65.75,61.57,77.56,74.85,54.63,77.0,57.71,61.13,64.74,64.24,57.95,64.87,48.65,50.2,74.82,74.69,78.47,67.83,81.2,60.55,64.05,36.66
67.99,70.61,65.48,58.93,76.36,75.83,67.38,65.92,69.89,69.67,64.47,72.1,71.22,59.36,67.02,69.89,74.15,69.63,66.29,63.67,62.76,72.8,78.0,69.72,75.13,72.98,72.93,50.09,71.03,74.67,75.79,69.57,75.35,72.73,70.92,56.0,68.66,61.35,70.67,66.29,58.25,67.2,76.8,57.02,64.53,65.1,62.42,74.02,73.39,73.36,70.67,75.0,69.3,74.84,74.26,64.73,67.91,75.0,72.8,74.81
77.82,75.0,66.09,72.28,73.92,72.52,71.19,73.52,71.8,72.88,67.68,62.43,62.78,67.48,73.31,70.07,64.01,67.77,74.34,68.92,62.13,70.49,77.37,63.55,70.3,66.83,73.39,71.4,71.02,65.22,64.53,74.67,75.79,74.81,71.78,69.3,74.4,75.6,78.75,70.11,73.92,77.44,69.85,72.8,58.63,68.32,70.35,67.95,73.39,75.0,75.41,73.39,62.65,63.83,72.1,75.13,73.41,65.7,75.23,74.4
75.6,68.7,72.24,75.35,71.17,80.5,76.57,74.95,73.4,70.29,70.92,66.56,68.4,71.63,65.1,77.0,58.01,72.69,71.58,70.61,73.5,71.4,74.61,62.48,76.13,74.67,71.82,73.97,64.2,64.11,69.67,69.72,65.72,72.71,68.95,58.06,70.56,72.87,72.8,66.88,70.56,76.57,73.38,71.1,70.07,59.52,73.92,71.72,67.42,77.37,69.16,64.83,67.73,72.73,66.8,70.64,61.37,71.17,75.0,75.6
